PFEI,Agency,Release Date
"<a href=""https://www.bea.gov/data/income-saving/personal-income"">Personal Income and Outlays</a>",Bureau of Economic Analysis,"<a href=""https://www.bea.gov/news/2026/personal-income-and-outlays-march-2026"">April 30</a>"
"<a href=""https://www.bea.gov/news/2026/gdp-advance-estimate-4th-quarter-and-year-2025"">Gross Domestic Product</a>",Bureau of Economic Analysis,"<a href=""https://www.bea.gov/news/2026/gdp-advance-estimate-1st-quarter-2026"">April 30</a>"
"<a href=""https://www.bea.gov/data/income-saving/corporate-profits"">Corporate Profits</a>",Bureau of Economic Analysis,--
"<a href=""https://www.bea.gov/data/intl-trade-investment/international-trade-goods-and-services"">U.S. International Trade in Goods and Services</a>",Bureau of Economic Analysis,"<a href=""https://www.bea.gov/news/2026/us-international-trade-goods-and-services-february-2026"">April 2</a>"
"<a href=""https://www.bea.gov/data/intl-trade-investment/international-transactions"">U.S. International Transactions</a>",Bureau of Economic Analysis,--
"<a href=""https://esmis.nal.usda.gov/publication/agricultural-prices"">Agricultural Prices</a>",National Agricultural Statistics Service,"<a href=""https://esmis.nal.usda.gov/publication/agricultural-prices"">April 30</a>"
"<a href=""https://esmis.nal.usda.gov/publication/crop-production"">Crop Production</a>",National Agricultural Statistics Service,"<a href=""https://esmis.nal.usda.gov/publication/crop-production"">April 9</a>"
"<a href=""https://esmis.nal.usda.gov/publication/grain-stocks"">Grain Stocks</a>",National Agricultural Statistics Service,--
"<a href=""https://esmis.nal.usda.gov/publication/cattle-feed"">Cattle on Feed</a>",National Agricultural Statistics Service,"<a href=""https://esmis.nal.usda.gov/publication/cattle-feed"">April 17</a>"
"<a href=""https://esmis.nal.usda.gov/publication/hogs-and-pigs"">Hogs and Pigs</a>",National Agricultural Statistics Service,--
"<a href=""https://esmis.nal.usda.gov/publication/prospective-plantings"">Prospective Plantings</a>",National Agricultural Statistics Service,--
"<a href=""https://www.eia.gov/naturalgas/reports.php"">Weekly Natural Gas Storage Report</a>",Energy Information Administration,"April 2, 9, 16, 23, 30"
"<a href=""https://www.federalreserve.gov/releases/g17/About.htm"">Industrial Production and Capacity Utilization</a>",Federal Reserve Board,"<a href=""https://www.federalreserve.gov/releases/g17/current/default.htm"">April 16</a>"
"<a href=""https://www.federalreserve.gov/releases/g19/about.htm"">Consumer Credit</a>",Federal Reserve Board,"<a href=""https://www.federalreserve.gov/releases/g19/current/"">April 7</a>"
"<a href=""https://www.usda.gov/about-usda/general-information/staff-offices/office-chief-economist/commodity-markets/wasde-report"">World Agricultural Supply and Demand Estimate</a>",World Agricultural Outlook Board,"<a href=""https://www.usda.gov/oce/commodity/wasde/wasde0426.pdf"">April 9</a>"
"<a href=""https://www.fas.usda.gov/data/search?reports%5B0%5D=report_type%3A13286"">World Agricultural Production</a>",Foreign Agricultural Service,"<a href=""https://www.fas.usda.gov/data/world-agricultural-production-04092026"">April 9</a>"
